Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,THOLDFAIL,EXPFAIL,PRFDROP,HIGHSD,MTP,NOAMP,BADROX,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,RGM,PEG10,UNKNOWN,SYBR,None,27.969,28.607,0.902,,,,,,,,TRUE,0.081,TRUE,3,25,Amp,,0.931,N,N,N,N,Y,Y,N,N,80.355,77.980,,
3,A3,FALSE,RGM,PEG10,UNKNOWN,SYBR,None,29.245,28.607,0.902,,,,,,,,TRUE,0.081,TRUE,3,24,Amp,,0.945,N,N,N,N,Y,Y,N,N,80.242,72.438,,
5,A5,FALSE,RGM,GRB10,UNKNOWN,SYBR,None,24.048,0.000,0.118,,,,,,,,TRUE,0.225,TRUE,3,19,Amp,,0.975,N,N,N,N,N,Y,N,N,81.152,63.956,,
7,A7,FALSE,RGM,GRB10,UNKNOWN,SYBR,None,23.880,0.000,0.118,,,,,,,,TRUE,0.225,TRUE,3,19,Amp,,0.947,N,N,N,N,N,N,N,N,82.396,,,
9,A9,FALSE,RGM,MEST,UNKNOWN,SYBR,None,23.336,23.622,0.405,,,,,,,,TRUE,0.233,TRUE,3,18,Amp,,0.955,N,N,N,N,N,N,N,N,77.754,,,
11,A11,FALSE,RGM,MEST,UNKNOWN,SYBR,None,23.908,23.622,0.405,,,,,,,,TRUE,0.233,TRUE,3,18,Amp,,0.961,N,N,N,N,N,N,N,N,76.283,,,
13,A13,FALSE,RGM,MEG3,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.200,TRUE,3,19,Inconclusive,,0.000,Y,Y,N,N,N,N,N,N,59.997,,,
15,A15,FALSE,RGM,MEG3,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.200,TRUE,3,39,Inconclusive,,0.000,Y,Y,Y,N,N,N,N,N,59.997,,,
17,A17,FALSE,RGM,B-ACTIN,UNKNOWN,SYBR,None,15.758,15.884,0.179,,,,,,,,TRUE,0.239,TRUE,3,10,Amp,,0.937,N,N,N,N,N,N,N,N,81.194,,,
19,A19,FALSE,RGM,B-ACTIN,UNKNOWN,SYBR,None,16.011,15.884,0.179,,,,,,,,TRUE,0.239,TRUE,3,11,Amp,,0.915,N,N,N,N,N,N,N,N,80.968,,,
49,C1,FALSE,1,PEG10,UNKNOWN,SYBR,None,30.147,30.060,0.124,,,,,,,,TRUE,0.081,TRUE,3,26,Amp,,0.921,N,N,N,N,N,N,N,N,80.129,,,
